$id,$ref,$version,$task,phone,company
,,,,+4963141530,AWIT Systems GmbH   0631 41530
,,,,+4923128678350,
LD6DUXRDSVSGZRT4,,XZUZ7E2MBVAB3Z6Y,anrufen_stufe,+496718011501,Kreuznacher Diakonie - Wohnpark Sophie Scholl
,,,,+4989889220480,
GKWPYBSF6ZBLCRX8,,RL9KTVDMZYSDZ4QB,anrufen_stufe,+49829296060,Seniorenheim der Hospitalstiftung
X6DEDFX9ZC3GQ8P2,,K39SUC32T97CPD35,export_negative,+49619092620,Seniorenresidenz Hattersheim
CAHP22LE6UXDYFVB,,MJ8KHR7AFYQTUF34,anrufen_stufe,+49221993813100,Johanniter Stift Köln-Poll
DVB64SE5MSHERWAH,,L6YH325M82EN7EMC,anrufen_stufe,+4951216930,Christophorusstift e.V.
,,,,+4964249340,
P8554QGX2Y68UQJH,,F3SFUJRLH9EPUFHL,anrufen_stufe,+496391910120,Ãƒâ€“kumenische Wasgau-Sozialstation e.V.
,,,,+498988922560,
,,,,+4943428010,
M2MJL26C78RCTVU8,,28NVUXYPXP59KNR8,anrufen_stufe,+49412392666,Haus Edda Seniorenpension
GXE9A4HKQ368RUPH,,8Z9YKSG2NAAXRCDY,anrufen_stufe,+4923145080,Altenzentrum St. Ewaldi
TH76YLSXV92E4Z2J,,7WSWEQRB2VPNWLX6,export_aufzeichnungen,+4924175083300,Margarethe-Eichholz-Heim
,,,,+4923813045442,
ZGPUBWKMCK3BQY65,,CDQRK2E75W5F3Q47,anrufen_stufe,+4985839700,Rosenium Seniorenwohnstätte
VAVF3VY9E8KEDQLM,,T3WGECWHSN4EEG7X,export_negative,+49620794210,Pflegeteam Odenwald GmbH
GU9XRXDSUD5M6KKV,,LGVA59N9ZZ7VVJQY,export_negative,+49211924030,Rosenhof Seniorenwohnanlage
QSWNH52EALGW3MLT,,BT3C7GX6T3FTSAL8,anrufen_stufe,+494611441537,Stadtteilcafe
EQU9ZEQB2TLZSQ55,,MDBSRHZVT45YRLNP,anrufen_stufe,+492381871120,Altenheim/Seniorenzentrum St. Bonifabius  02381 871120
A5X55APYJPMSA8EE,,QD89T4EMM8WDZEL5,anrufen_stufe,+49865195610,SeniorenWohnen Kirchberg
82CST4FRM5U5FLJL,,M2ZBZRLE9FVM8X8M,anrufen_stufe,+4935284350,Alten- und Pflegeheim Radeberg
E6RMFDR8XMXK2TFN,,864HDV5ULGUA5H5A,anrufen_stufe,+492835446503,St. Antonius-Haus gGmbH
VZ2H2559WECYGKSR,,AGCUN6ZTB39UWLNR,export_negative,+496858313,Alten- und Pflegeheim
VQWKSCHQQFM4G9KJ,,359L2SVS76J595HQ,export_negative,+49772083060,AWO Seniorenzentrum Schwenningen
,,,,+4989356475100,
HVMPMXYMTZAADTQP,,JJN8YTH6C3MSZNRH,export_negative,+496196594350,St. Elisabeth
DTCPEPHE4VS4EKFG,,NWKN2BW5TWNLLHWU,anrufen_stufe,+49727595520,Willi-Hussong-Haus
,,,,+496573953210,
KZZ4QANFRC47688X,,AAK74HHMMJGSM5A8,anrufen_stufe,+49477780090,DRK-Seniorenheim Haus Am Dobrock
7Y3GK65CJZ3S8BT7,,U7NHGWF8MUTSSEUR,export_negative,+4924319490,Johanniter Seniorenstift Erkelenz
EK3YR3C8VFKTSTCL,,Y98Q8Q8A4TU46JDA,anrufen_stufe,+494562266161,Curata Seniorenresidenz
,,,,+495118114271,
S3BFFAB52TZ84D2Z,,VW4KDXX3YT384EMV,export_negative,+4961724090,Kurstift Bad Homburg gGmbH
UN3YCCTLHWDW29V2,,YCYHQFMQFDY48URF,anrufen_stufe,+4968769111,Seniorenzentrum St. Mattheis
HERVYUAZZHMRXPDK,,FN82TZ8UYX2LSGA6,anrufen_stufe,+49358355460,Alten-u.Pflegeh.in Zerbst GmbH& Co.BetriebsOHG
FPKZYWACWK5PKPFE,,46XM39EC8DKKJAN9,anrufen_stufe,+49277691560,Haus Waldesruh
U2LEKJK24Y4SSVQ9,,LKW96YSWXAQ32SFK,anrufen_stufe,+499112354191,Fachberatung für Kindertagesstätten
,,,,+495371722730,
,,,,+4971122903160,
J6CC6GW99NUNCUUF,,M7ZFLB3GGG8VNXQM,export_negative,+49603697550,Haus Ziegler GmbH
,,,,+493914082320,
Q5NCDBSJQ78XWPJ4,,PUAAJ3VP9JF5LATQ,anrufen_stufe,+493301677470,Pflegedienst Gehrmann GbR
